region,land_type,road_access,utilities,area_sqft,distance_to_city_km,infrastructure_score,development_potential,price
Ahmedabad,Agricultural,Main_Road,Partial,93430,5.8,3.7,3.6,39015000
Kochi,Agricultural,Secondary_Road,Partial,12660,9.4,4.1,6.2,3828000
Ahmedabad,Residential,Secondary_Road,Partial,2610,46.7,3.2,2.1,937000
Ahmedabad,Commercial,No_Road,Not_Connected,4440,32.7,2.7,2.4,816000
Bangalore_North,Residential,Interior_Road,Fully_Connected,4060,15.2,4.7,4.8,5930000
Bangalore_South,Mixed,Secondary_Road,Partial,17290,2.0,7.9,10.0,35057000
Noida_NCR,Residential,Interior_Road,Partial,14890,19.2,4.9,7.0,13157000
Kochi,Agricultural,No_Road,Fully_Connected,24030,0.5,6.1,3.8,6103000
Bangalore_North,Residential,Secondary_Road,Not_Connected,5630,36.6,4.5,7.2,3656000
Chennai,Agricultural,Secondary_Road,Fully_Connected,82680,48.4,3.6,6.5,14435000
Noida_NCR,Commercial,No_Road,Fully_Connected,10490,30.1,6.3,4.6,13939000
Bangalore_North,Agricultural,Main_Road,Partial,71600,7.0,5.5,2.1,64512000
Pune,Residential,Interior_Road,Fully_Connected,4870,11.9,6.1,6.2,4241000
Indore,Mixed,Main_Road,Fully_Connected,17970,8.7,1.7,4.9,12999000
Noida_NCR,Commercial,Secondary_Road,Fully_Connected,17310,9.5,7.0,9.3,47286000
Bangalore_South,Agricultural,Interior_Road,Partial,19260,45.2,1.4,1.7,4161000
Kochi,Industrial,Secondary_Road,Not_Connected,37800,5.1,4.4,7.7,17954000
Hyderabad,Mixed,Secondary_Road,Fully_Connected,10720,42.6,5.8,2.7,10457000
Kochi,Residential,Secondary_Road,Fully_Connected,4910,9.5,5.2,5.1,2674000
Hyderabad,Residential,Main_Road,Fully_Connected,8350,3.0,4.8,4.7,14300000
Chennai,Residential,Main_Road,Not_Connected,4520,39.1,2.6,5.5,1716000
Hyderabad,Residential,Main_Road,Fully_Connected,4560,15.2,5.1,7.5,8283000
Hyderabad,Commercial,Secondary_Road,Not_Connected,8710,2.3,6.6,8.1,17772000
Kochi,Mixed,Secondary_Road,Not_Connected,1620,26.1,1.4,1.0,692000
Bangalore_South,Mixed,Main_Road,Fully_Connected,5690,32.9,4.8,6.7,7865000
Bangalore_North,Commercial,Interior_Road,Partial,5010,7.1,6.6,7.4,12098000
Hyderabad,Agricultural,Secondary_Road,Partial,17190,12.0,5.7,3.5,11142000
Noida_NCR,Industrial,Secondary_Road,Partial,62990,55.0,5.3,2.6,42329000
Ahmedabad,Mixed,Secondary_Road,Fully_Connected,8330,7.5,5.2,7.2,10442000
Bhopal,Residential,Main_Road,Partial,3920,10.2,3.2,4.0,1128000
Hyderabad,Commercial,Interior_Road,Partial,5390,35.1,2.8,2.0,5061000
Pune,Industrial,Secondary_Road,Partial,25350,8.1,5.7,5.7,25882000
Bangalore_North,Residential,Main_Road,Not_Connected,7620,43.4,3.6,5.1,4421000
Chennai,Commercial,No_Road,Fully_Connected,4480,21.7,4.0,4.7,2764000
Bhopal,Mixed,Interior_Road,Partial,5980,9.6,4.4,2.8,1469000
Noida_NCR,Mixed,Interior_Road,Not_Connected,10550,15.2,7.9,10.0,13425000
Chennai,Mixed,Interior_Road,Fully_Connected,1700,33.5,4.1,6.4,1132000
Hyderabad,Industrial,No_Road,Fully_Connected,19100,30.1,6.0,5.7,15225000
Indore,Residential,Main_Road,Fully_Connected,3030,7.8,2.5,3.3,1214000
Pune,Residential,Secondary_Road,Not_Connected,3670,7.5,5.8,6.6,2407000
Bangalore_North,Commercial,Secondary_Road,Fully_Connected,5630,10.6,6.0,4.5,17692000
Hyderabad,Commercial,Main_Road,Partial,8810,21.6,7.1,7.5,23541000
Bangalore_North,Commercial,Main_Road,Fully_Connected,30750,0.6,5.8,4.1,171641000
Bangalore_South,Agricultural,Main_Road,Fully_Connected,37360,3.9,5.7,5.9,36169000
Bangalore_North,Commercial,Interior_Road,Partial,9810,60.4,5.4,4.0,8554000
Pune,Agricultural,Interior_Road,Fully_Connected,301060,27.5,4.6,3.5,90025000
Noida_NCR,Residential,Interior_Road,Not_Connected,2800,31.0,4.3,7.5,1734000
Hyderabad,Residential,Main_Road,Fully_Connected,13010,17.1,8.9,8.3,23013000
Pune,Residential,Main_Road,Not_Connected,4010,5.7,4.3,5.3,5182000
Bhopal,Residential,Secondary_Road,Fully_Connected,12740,10.8,3.7,1.6,3471000
Ahmedabad,Industrial,Secondary_Road,Not_Connected,36450,0.7,5.6,5.0,16468000
Chennai,Commercial,No_Road,Partial,9920,12.5,5.3,6.4,6168000
Hyderabad,Residential,Interior_Road,Fully_Connected,3830,0.5,6.3,6.7,5125000
Indore,Agricultural,No_Road,Fully_Connected,28510,5.6,4.1,1.6,3471000
Bangalore_South,Commercial,Interior_Road,Fully_Connected,8440,80.0,2.7,4.2,4333000
Hyderabad,Residential,No_Road,Partial,7170,8.7,4.8,5.9,6888000
Indore,Residential,Secondary_Road,Partial,3970,14.1,6.6,8.5,1195000
Chennai,Residential,Main_Road,Fully_Connected,3260,9.3,4.9,4.4,5012000
Ahmedabad,Agricultural,Main_Road,Fully_Connected,39900,0.7,5.9,2.8,18767000
Chennai,Residential,Secondary_Road,Partial,7620,0.5,5.1,4.1,7232000
Noida_NCR,Residential,Main_Road,Partial,8870,3.6,6.3,4.8,12634000
Hyderabad,Residential,Main_Road,Partial,2590,5.6,5.7,7.1,5032000
Bangalore_South,Commercial,No_Road,Fully_Connected,5010,11.0,3.9,1.0,6480000
Hyderabad,Residential,Main_Road,Partial,5120,6.2,6.1,5.6,10833000
Bangalore_South,Industrial,No_Road,Not_Connected,67880,16.6,5.0,7.6,24909000
Kochi,Residential,Interior_Road,Fully_Connected,8420,18.1,5.6,5.9,3593000
Hyderabad,Agricultural,Secondary_Road,Fully_Connected,16210,0.7,5.0,6.8,15157000
Chennai,Commercial,Interior_Road,Fully_Connected,6650,2.7,4.7,2.8,12131000
Ahmedabad,Commercial,Main_Road,Partial,4170,51.7,2.1,1.1,2081000
Ahmedabad,Residential,Secondary_Road,Fully_Connected,3360,23.3,6.0,8.4,2222000
Pune,Industrial,Main_Road,Not_Connected,72190,3.3,4.7,5.4,68729000
Pune,Industrial,No_Road,Partial,6410,1.4,6.5,6.7,4091000
Bhopal,Residential,Main_Road,Partial,1400,23.1,4.5,3.5,394000
Noida_NCR,Residential,Main_Road,Partial,2330,52.4,4.6,5.4,2055000
Kochi,Mixed,Interior_Road,Fully_Connected,7230,8.9,2.9,2.3,3498000
Indore,Commercial,Interior_Road,Partial,12350,9.3,2.5,5.5,6570000
Ahmedabad,Residential,Secondary_Road,Fully_Connected,5320,1.6,6.2,10.0,6330000
Bangalore_South,Residential,Secondary_Road,Partial,8590,14.9,4.1,5.6,10296000
Chennai,Agricultural,Main_Road,Not_Connected,10230,14.5,5.4,4.8,4033000
Bangalore_North,Agricultural,Interior_Road,Partial,145700,60.9,4.2,1.1,29233000
Noida_NCR,Commercial,Main_Road,Not_Connected,6430,4.2,7.1,4.4,15809000
Bhopal,Mixed,Main_Road,Fully_Connected,9650,5.1,4.6,7.6,5621000
Chennai,Commercial,Main_Road,Not_Connected,3170,11.6,3.9,3.2,3497000
Pune,Residential,Main_Road,Partial,4010,3.3,4.5,4.6,4631000
Bangalore_North,Commercial,Main_Road,Partial,9440,33.9,6.0,7.2,15155000
Bhopal,Residential,Secondary_Road,Fully_Connected,8480,4.2,3.3,6.5,2853000
Bangalore_North,Residential,Main_Road,Fully_Connected,1430,7.5,2.9,3.7,3109000
Bangalore_North,Residential,Main_Road,Partial,4080,34.5,5.9,5.5,5883000
Bangalore_South,Residential,Secondary_Road,Fully_Connected,1980,2.2,4.8,5.5,3412000
Bangalore_North,Agricultural,Main_Road,Partial,78800,17.2,6.4,5.5,67099000
Pune,Residential,Interior_Road,Not_Connected,6630,6.4,7.3,6.2,4090000
Chennai,Commercial,No_Road,Not_Connected,19700,9.1,5.2,6.3,10062000
Hyderabad,Agricultural,Secondary_Road,Fully_Connected,30890,14.5,7.1,7.2,26046000
Bangalore_North,Agricultural,No_Road,Not_Connected,115180,28.9,5.5,9.0,17844000
Bangalore_North,Agricultural,Main_Road,Fully_Connected,170180,20.8,7.6,8.0,164181000
Hyderabad,Industrial,Main_Road,Fully_Connected,5370,22.9,4.3,6.7,8837000
Bangalore_North,Agricultural,Interior_Road,Not_Connected,86760,19.3,5.7,4.4,25995000
Noida_NCR,Residential,Interior_Road,Fully_Connected,7460,14.5,7.1,7.8,9174000
Bangalore_South,Commercial,Interior_Road,Fully_Connected,6670,43.4,4.2,3.9,9886000
Hyderabad,Agricultural,Main_Road,Fully_Connected,16820,1.4,7.8,8.1,23875000
Hyderabad,Residential,Interior_Road,Partial,7380,24.1,5.0,6.5,5171000
Pune,Residential,Secondary_Road,Partial,1830,12.1,7.8,7.5,2356000
Bangalore_North,Residential,Main_Road,Fully_Connected,3560,4.4,8.9,10.0,8380000
Bangalore_North,Commercial,Main_Road,Fully_Connected,7780,59.1,4.5,7.3,15306000
Kochi,Commercial,No_Road,Partial,13200,23.2,4.6,7.0,6218000
Bangalore_North,Residential,Main_Road,Fully_Connected,2660,43.3,6.2,7.5,2935000
Pune,Industrial,Interior_Road,Partial,11570,7.3,4.1,7.5,12474000
Pune,Mixed,Secondary_Road,Not_Connected,6400,15.8,3.6,2.4,5090000
Hyderabad,Residential,Interior_Road,Partial,7690,26.4,7.0,9.0,5473000
Pune,Mixed,Interior_Road,Not_Connected,26540,14.4,5.6,4.4,26071000
Ahmedabad,Residential,Interior_Road,Partial,1500,18.0,4.2,4.1,678000
Kochi,Mixed,Main_Road,Not_Connected,7360,11.8,4.4,5.9,3611000
Bangalore_South,Mixed,Main_Road,Fully_Connected,2960,12.6,2.8,5.8,6976000
Hyderabad,Residential,Secondary_Road,Fully_Connected,7760,9.2,5.9,4.4,13647000
Bangalore_South,Agricultural,Secondary_Road,Partial,21480,9.2,4.9,4.7,17381000
Pune,Mixed,Main_Road,Fully_Connected,3870,3.0,6.8,6.9,11140000
Noida_NCR,Mixed,Main_Road,Not_Connected,4090,38.2,6.5,6.3,4364000
Bangalore_South,Mixed,Main_Road,Partial,5710,63.3,4.3,6.3,4242000
Hyderabad,Commercial,Main_Road,Not_Connected,10030,15.6,6.4,10.0,19564000
Indore,Residential,Main_Road,Fully_Connected,5480,9.1,2.4,4.3,2210000
Bangalore_North,Industrial,No_Road,Fully_Connected,19910,80.0,4.0,3.7,5798000
Pune,Agricultural,Main_Road,Partial,15110,34.1,5.2,3.7,6979000
Noida_NCR,Agricultural,No_Road,Fully_Connected,96260,32.4,7.0,6.4,33084000
Bangalore_South,Commercial,No_Road,Partial,7710,6.1,8.5,6.5,12972000
Bangalore_North,Commercial,Main_Road,Partial,18040,33.6,3.1,4.9,31923000
Bangalore_North,Residential,Interior_Road,Not_Connected,2530,2.3,5.9,6.8,3046000
Indore,Agricultural,Secondary_Road,Partial,11820,2.9,3.5,3.8,3171000
Bangalore_North,Residential,Interior_Road,Fully_Connected,3910,17.5,6.0,9.2,5384000
Bangalore_South,Agricultural,Main_Road,Fully_Connected,160510,8.6,5.8,5.0,168579000
Bangalore_North,Industrial,Main_Road,Partial,22750,11.9,5.7,5.8,44321000
Bangalore_North,Commercial,Main_Road,Fully_Connected,6960,9.9,7.3,8.1,31039000
Noida_NCR,Commercial,Secondary_Road,Fully_Connected,4350,25.3,4.5,6.5,9820000
Bangalore_South,Residential,No_Road,Fully_Connected,12540,10.3,4.5,7.1,13679000
Chennai,Mixed,Interior_Road,Fully_Connected,3070,10.3,3.9,5.4,4094000
Chennai,Agricultural,Interior_Road,Partial,26030,41.0,3.5,6.0,6109000
Kochi,Residential,No_Road,Fully_Connected,5790,23.7,2.5,2.8,1175000
Bangalore_North,Residential,Interior_Road,Partial,1200,1.4,6.4,7.9,1761000
Kochi,Residential,Main_Road,Fully_Connected,9160,3.7,4.5,6.5,8296000
Noida_NCR,Commercial,Interior_Road,Partial,12380,46.4,4.0,7.1,11659000
Bangalore_South,Mixed,Secondary_Road,Fully_Connected,10760,0.8,7.2,4.5,27082000
Ahmedabad,Agricultural,Main_Road,Not_Connected,82630,4.2,5.0,4.1,26113000
Kochi,Residential,Secondary_Road,Fully_Connected,3600,11.5,5.7,7.2,2062000
Bangalore_South,Industrial,No_Road,Partial,8540,19.8,5.1,1.6,5351000
Indore,Residential,Main_Road,Fully_Connected,3650,7.5,4.2,5.7,2512000
Pune,Industrial,Secondary_Road,Fully_Connected,9170,10.3,4.8,6.9,16044000
Chennai,Residential,Main_Road,Fully_Connected,5490,21.1,4.7,4.4,5299000
Bhopal,Agricultural,Main_Road,Not_Connected,103350,15.8,4.4,4.4,8186000
Hyderabad,Mixed,Main_Road,Not_Connected,15670,36.5,4.5,3.5,16860000
Kochi,Residential,Interior_Road,Fully_Connected,5090,8.3,5.2,4.9,2533000
Hyderabad,Agricultural,Interior_Road,Fully_Connected,114910,3.9,5.4,5.0,69061000
Ahmedabad,Mixed,Main_Road,Partial,4950,16.1,5.5,4.8,4641000
Chennai,Residential,Main_Road,Partial,2930,24.3,3.9,3.6,2507000
Bangalore_South,Residential,Main_Road,Fully_Connected,5440,77.3,4.1,4.5,2779000
Pune,Agricultural,Main_Road,Partial,35310,12.5,5.4,5.4,25833000
Hyderabad,Residential,Secondary_Road,Partial,4760,9.5,7.9,10.0,5379000
Bangalore_North,Residential,Interior_Road,Partial,2010,49.4,3.1,3.6,1209000
Bangalore_North,Commercial,Secondary_Road,Fully_Connected,4320,1.0,4.7,5.8,20835000
Hyderabad,Agricultural,Secondary_Road,Fully_Connected,88580,10.2,5.4,4.9,68322000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,7120,20.7,4.0,3.9,9409000
Bangalore_South,Residential,Main_Road,Partial,2110,7.6,4.2,2.4,3449000
Ahmedabad,Industrial,Main_Road,Fully_Connected,34200,35.7,4.5,2.8,19149000
Noida_NCR,Commercial,No_Road,Partial,5510,21.0,6.0,4.4,5446000
Ahmedabad,Industrial,Interior_Road,Partial,20270,68.0,1.9,3.6,3229000
Hyderabad,Commercial,No_Road,Partial,21570,13.1,5.5,7.5,18537000
Indore,Mixed,No_Road,Fully_Connected,10140,2.7,3.7,1.9,3641000
Chennai,Agricultural,Secondary_Road,Fully_Connected,102340,37.3,6.0,5.4,36713000
Bangalore_North,Residential,No_Road,Fully_Connected,13830,14.4,5.0,3.4,16845000
Bangalore_South,Industrial,Secondary_Road,Partial,11390,34.2,3.2,3.8,9322000
Noida_NCR,Commercial,Main_Road,Not_Connected,4010,15.7,7.2,8.7,8037000
Bangalore_South,Residential,Main_Road,Fully_Connected,2500,3.0,5.8,5.4,6290000
Pune,Residential,Main_Road,Not_Connected,3390,2.3,8.2,7.7,4133000
Bhopal,Agricultural,Main_Road,Fully_Connected,6010,4.8,3.4,6.6,1695000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,3500,2.9,7.4,7.9,7656000
Bangalore_North,Residential,Interior_Road,Fully_Connected,2810,1.7,7.7,6.2,4700000
Bhopal,Residential,Interior_Road,Partial,6660,35.9,2.2,3.8,874000
Chennai,Commercial,Secondary_Road,Fully_Connected,10240,4.6,4.4,3.8,17754000
Bangalore_North,Commercial,Main_Road,Fully_Connected,5250,17.9,6.7,7.3,16501000
Indore,Commercial,Interior_Road,Partial,12090,0.5,5.2,6.4,8533000
Kochi,Residential,Secondary_Road,Partial,6400,6.3,2.9,2.0,2690000
Chennai,Residential,Main_Road,Fully_Connected,2430,4.6,4.0,5.1,3182000
Noida_NCR,Agricultural,Main_Road,Fully_Connected,32080,12.1,3.3,4.1,29394000
Hyderabad,Residential,Main_Road,Partial,940,44.5,5.4,6.6,628000
Bangalore_North,Agricultural,Main_Road,Fully_Connected,18740,8.8,5.8,7.3,20115000
Chennai,Residential,Interior_Road,Fully_Connected,2470,20.7,4.5,5.9,1497000
Hyderabad,Residential,Interior_Road,Partial,4200,7.0,4.2,4.5,4876000
Noida_NCR,Residential,Interior_Road,Fully_Connected,2160,27.2,4.4,6.5,2557000
Kochi,Commercial,Main_Road,Partial,5580,1.8,4.2,3.6,6913000
Bangalore_North,Residential,Interior_Road,Fully_Connected,1800,26.4,4.6,3.2,2005000
Chennai,Industrial,Interior_Road,Fully_Connected,22930,24.0,4.7,1.0,15801000
Bangalore_South,Residential,Main_Road,Fully_Connected,5280,1.0,6.8,6.7,10370000
Kochi,Commercial,Secondary_Road,Fully_Connected,10600,0.5,7.6,6.1,13921000
Bangalore_South,Commercial,Secondary_Road,Fully_Connected,8070,22.0,5.3,6.3,15271000
Noida_NCR,Residential,Secondary_Road,Fully_Connected,1470,8.9,7.8,4.5,2852000
Chennai,Commercial,Main_Road,Not_Connected,5180,35.9,3.1,3.2,3265000
Hyderabad,Residential,Secondary_Road,Not_Connected,3070,80.0,1.3,3.6,648000
Noida_NCR,Commercial,Main_Road,Fully_Connected,6030,17.1,5.7,4.4,19185000
Ahmedabad,Residential,Main_Road,Partial,4200,17.0,2.6,4.4,2835000
Chennai,Industrial,Main_Road,Partial,62560,5.8,5.3,4.9,80767000
Ahmedabad,Mixed,No_Road,Not_Connected,10170,62.1,1.8,3.2,877000
Bhopal,Residential,Main_Road,Fully_Connected,2110,11.5,1.4,3.9,583000
Pune,Agricultural,Secondary_Road,Fully_Connected,92070,12.6,7.4,8.6,60682000
Chennai,Agricultural,Main_Road,Fully_Connected,88970,11.5,4.4,5.2,52820000
Bangalore_North,Residential,Interior_Road,Fully_Connected,2370,1.9,4.5,3.9,3956000
Ahmedabad,Industrial,Secondary_Road,Fully_Connected,39440,20.1,5.5,5.2,25724000
Chennai,Agricultural,No_Road,Not_Connected,43280,3.3,4.5,6.1,6041000
Pune,Mixed,Main_Road,Not_Connected,2400,3.6,7.0,5.4,3996000
Bangalore_North,Mixed,Main_Road,Fully_Connected,8070,26.0,4.6,5.0,16381000
Kochi,Residential,Secondary_Road,Fully_Connected,4610,0.8,4.2,4.4,2880000
Hyderabad,Commercial,Main_Road,Fully_Connected,6820,16.3,6.3,6.3,17767000
Noida_NCR,Commercial,Interior_Road,Fully_Connected,7790,19.6,6.8,5.2,15687000
Bangalore_South,Residential,Interior_Road,Partial,2510,1.9,7.0,4.1,2856000
Bhopal,Residential,Secondary_Road,Fully_Connected,5950,3.8,4.0,5.6,1742000
Bangalore_South,Mixed,No_Road,Not_Connected,5830,32.6,5.5,7.3,1804000
Bangalore_South,Residential,Secondary_Road,Not_Connected,4460,18.3,6.3,3.7,4037000
Kochi,Commercial,Main_Road,Partial,10270,5.6,4.9,6.0,10450000
Indore,Industrial,Secondary_Road,Partial,7940,2.8,4.3,6.6,3194000
Bangalore_South,Residential,Main_Road,Partial,2240,19.3,3.7,5.5,2808000
Pune,Commercial,Interior_Road,Fully_Connected,1700,7.4,6.3,5.8,2985000
Ahmedabad,Mixed,Main_Road,Fully_Connected,8660,11.0,4.8,3.9,8686000
Kochi,Commercial,Main_Road,Partial,3420,12.9,3.9,4.9,2721000
Hyderabad,Residential,Secondary_Road,Fully_Connected,4360,42.4,6.3,6.8,4676000
Chennai,Residential,Main_Road,Not_Connected,5090,70.6,1.0,2.8,1202000
Ahmedabad,Mixed,Main_Road,Fully_Connected,8880,25.2,6.2,6.1,10835000
Ahmedabad,Residential,Interior_Road,Fully_Connected,1830,19.9,4.4,3.5,840000
Ahmedabad,Commercial,Main_Road,Fully_Connected,7640,69.1,2.8,4.6,3468000
Chennai,Residential,Secondary_Road,Not_Connected,11850,6.1,4.8,6.1,9066000
Bangalore_North,Commercial,Main_Road,Fully_Connected,26560,15.8,3.9,5.0,68250000
Indore,Mixed,Main_Road,Fully_Connected,11400,7.7,4.1,5.0,8236000
Kochi,Commercial,Main_Road,Fully_Connected,10130,12.3,4.8,7.9,10953000
Ahmedabad,Mixed,Interior_Road,Partial,3120,20.3,5.2,4.7,1915000
Bangalore_North,Residential,No_Road,Not_Connected,6380,69.2,3.5,6.4,1021000
Bangalore_South,Commercial,Main_Road,Fully_Connected,7160,4.3,3.4,3.3,20621000
Ahmedabad,Industrial,No_Road,Not_Connected,31320,14.4,2.8,5.6,4566000
Bangalore_North,Commercial,Secondary_Road,Fully_Connected,5140,10.3,8.6,9.9,16686000
Bhopal,Residential,Secondary_Road,Partial,3570,2.3,2.8,3.5,897000
Hyderabad,Industrial,Interior_Road,Fully_Connected,22810,3.6,8.1,10.0,29095000
Noida_NCR,Residential,Interior_Road,Fully_Connected,4690,8.3,5.4,6.5,6906000
Kochi,Commercial,Interior_Road,Partial,11300,5.0,4.5,3.8,6870000
Hyderabad,Mixed,Secondary_Road,Partial,4120,50.6,5.2,5.1,3089000
Hyderabad,Residential,Secondary_Road,Fully_Connected,1670,10.4,5.1,7.3,2113000
Chennai,Residential,Main_Road,Not_Connected,11500,15.6,6.8,8.1,7442000
Chennai,Residential,Main_Road,Not_Connected,20170,19.3,4.8,3.8,10118000
Pune,Residential,Interior_Road,Fully_Connected,5350,16.5,5.7,5.8,6108000
Chennai,Residential,Main_Road,Partial,1690,9.9,4.8,5.7,2010000
Indore,Agricultural,Main_Road,Partial,24930,28.4,4.2,4.2,3377000
Pune,Residential,Main_Road,Fully_Connected,5570,38.2,6.2,9.9,5315000
Bangalore_South,Agricultural,Main_Road,Not_Connected,167170,17.5,5.3,6.1,76247000
Hyderabad,Residential,Secondary_Road,Fully_Connected,1820,1.9,8.5,7.9,3878000
Hyderabad,Residential,Secondary_Road,Partial,3690,12.6,5.3,7.5,5336000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,4540,8.7,7.1,6.4,8805000
Bangalore_South,Agricultural,Main_Road,Fully_Connected,108870,15.8,6.1,7.8,56888000
Noida_NCR,Commercial,Secondary_Road,Partial,6290,13.0,5.0,3.0,14498000
Hyderabad,Residential,Secondary_Road,Partial,1450,16.6,6.1,5.6,1791000
Bhopal,Industrial,Interior_Road,Not_Connected,32870,12.4,3.7,6.2,4540000
Bangalore_South,Commercial,Secondary_Road,Not_Connected,17580,24.6,4.2,7.3,28125000
Bangalore_North,Residential,Secondary_Road,Fully_Connected,3790,23.3,6.0,5.0,6329000
Ahmedabad,Mixed,Secondary_Road,Fully_Connected,7810,24.0,4.4,3.7,6695000
Kochi,Residential,No_Road,Fully_Connected,2940,19.1,4.0,5.7,820000
Hyderabad,Residential,Interior_Road,Fully_Connected,2310,12.4,5.9,5.2,2534000
Bangalore_South,Commercial,Secondary_Road,Fully_Connected,16410,59.7,3.7,4.2,15760000
Bangalore_South,Residential,Secondary_Road,Not_Connected,5150,71.3,2.9,5.3,1860000
Chennai,Residential,Main_Road,Partial,5500,6.3,5.4,5.0,5852000
Pune,Agricultural,No_Road,Fully_Connected,193240,41.5,3.4,1.4,22338000
Bangalore_South,Residential,Main_Road,Fully_Connected,2020,23.3,8.4,5.9,3394000
Bangalore_North,Industrial,Main_Road,Partial,12860,20.5,4.0,4.8,20624000
Pune,Mixed,No_Road,Fully_Connected,6650,3.6,5.0,2.7,5679000
Bhopal,Agricultural,Interior_Road,Fully_Connected,30090,10.9,3.2,3.8,4513000
Noida_NCR,Agricultural,Main_Road,Fully_Connected,101170,12.4,8.8,6.1,103626000
Pune,Agricultural,Main_Road,Fully_Connected,42240,80.0,1.1,5.2,5164000
Bangalore_North,Mixed,Main_Road,Fully_Connected,3150,37.2,5.5,9.1,6067000
Bangalore_South,Residential,Secondary_Road,Partial,4170,17.3,5.8,4.5,4191000
Hyderabad,Residential,Main_Road,Fully_Connected,4470,37.0,5.4,6.2,6015000
Ahmedabad,Commercial,No_Road,Partial,15390,11.4,6.2,4.9,9349000
Kochi,Commercial,No_Road,Partial,10530,1.1,6.3,5.9,6515000
Indore,Residential,Secondary_Road,Not_Connected,5400,28.9,2.9,6.7,787000
Bhopal,Agricultural,Secondary_Road,Fully_Connected,66710,10.8,4.0,4.1,8447000
Bhopal,Residential,Main_Road,Fully_Connected,3540,4.8,1.8,2.8,1449000
Bhopal,Mixed,Main_Road,Fully_Connected,3770,14.7,3.8,3.2,1480000
Bangalore_North,Residential,Interior_Road,Fully_Connected,4830,46.1,3.7,6.3,4611000
Bangalore_North,Residential,Main_Road,Fully_Connected,3220,33.9,4.9,1.0,4282000
Hyderabad,Residential,Main_Road,Partial,12000,12.0,4.0,4.1,15778000
Chennai,Residential,Main_Road,Fully_Connected,9570,1.7,5.9,6.1,14234000
Bangalore_North,Residential,Main_Road,Fully_Connected,6040,45.2,2.7,2.9,5702000
Kochi,Residential,Secondary_Road,Fully_Connected,5120,8.2,4.7,6.6,3215000
Noida_NCR,Residential,Interior_Road,Partial,3780,0.8,5.3,7.5,4007000
Chennai,Residential,Interior_Road,Not_Connected,1760,3.5,4.4,3.0,1084000
Bangalore_South,Residential,Secondary_Road,Partial,3480,1.2,7.5,10.0,5867000
Bangalore_South,Residential,Interior_Road,Partial,4270,25.5,5.9,4.0,3134000
Bangalore_South,Residential,Secondary_Road,Partial,4640,49.1,5.6,7.9,3356000
Kochi,Residential,Interior_Road,Partial,5430,15.8,6.1,6.5,2029000
Chennai,Residential,Secondary_Road,Fully_Connected,7280,4.1,4.4,4.3,8403000
Ahmedabad,Residential,Main_Road,Partial,2550,48.2,5.1,5.0,928000
Hyderabad,Residential,No_Road,Partial,2570,4.5,4.6,5.2,2419000
Hyderabad,Agricultural,Main_Road,Fully_Connected,184530,42.2,5.7,6.3,83848000
Pune,Mixed,Main_Road,Partial,9900,15.5,4.6,3.8,15841000
Ahmedabad,Mixed,Main_Road,Fully_Connected,4650,0.5,4.1,4.5,5486000
Ahmedabad,Commercial,Secondary_Road,Partial,7420,4.2,5.8,4.9,7533000
Bangalore_South,Commercial,Secondary_Road,Fully_Connected,7440,2.5,7.2,5.2,26314000
Indore,Residential,Secondary_Road,Partial,4080,10.5,5.2,4.4,1296000
Bangalore_North,Agricultural,Interior_Road,Not_Connected,76510,32.3,5.5,4.1,19600000
Indore,Agricultural,Main_Road,Fully_Connected,489560,13.5,4.2,4.3,89571000
Bangalore_North,Industrial,Secondary_Road,Fully_Connected,23280,46.0,5.3,6.4,19919000
Bangalore_South,Industrial,Main_Road,Fully_Connected,33980,23.7,5.6,6.1,42720000
Kochi,Commercial,Interior_Road,Fully_Connected,2460,2.4,5.4,8.7,3146000
Bangalore_South,Agricultural,Main_Road,Not_Connected,32320,28.6,5.3,2.4,9201000
Pune,Industrial,Main_Road,Fully_Connected,53450,16.6,6.2,7.0,73861000
Pune,Residential,Secondary_Road,Fully_Connected,5200,11.7,3.4,4.4,6690000
Bangalore_South,Mixed,Interior_Road,Fully_Connected,500,43.3,4.3,6.2,544000
Noida_NCR,Residential,Interior_Road,Not_Connected,6200,80.0,2.0,4.5,1251000
Kochi,Mixed,Secondary_Road,Fully_Connected,20880,5.8,5.0,5.3,15660000
Kochi,Agricultural,Interior_Road,Partial,8300,8.7,6.5,6.8,1954000
Hyderabad,Residential,Secondary_Road,Fully_Connected,10740,22.4,5.0,4.4,12709000
Chennai,Agricultural,Main_Road,Fully_Connected,4130,24.7,4.7,6.2,1796000
Bangalore_South,Residential,Main_Road,Partial,7360,28.7,5.9,3.3,7417000
Bangalore_South,Agricultural,Main_Road,Fully_Connected,49610,2.1,3.6,5.7,56170000
Bangalore_South,Industrial,Main_Road,Partial,3050,0.5,5.5,5.8,5586000
Indore,Agricultural,Secondary_Road,Fully_Connected,74710,11.9,4.5,4.4,13611000
Kochi,Industrial,Secondary_Road,Partial,50220,1.9,1.3,2.6,25517000
Ahmedabad,Residential,Secondary_Road,Partial,5070,7.6,3.7,4.4,3257000
Chennai,Residential,Secondary_Road,Partial,5850,16.0,6.2,8.3,4302000
Pune,Commercial,Interior_Road,Fully_Connected,6000,2.8,6.9,10.0,14715000
